"Class","AMC24","AMC29","AMC2","AMC23","AMC25","AMC21","AMC26","AMC28","AMC20","AMC22","AMC27","AMC33","AMC34","AMC36","AMC30","AMC35","AMC37","AMC32","AMC39","AMC38","AMC3","AMC31","AMC46","AMC43","AMC48","AMC40","AMC45","AMC42","AMC49","AMC4","AMC47","AMC44","AMC41","AMC51","AMC53","AMC55","AMC50","AMC5","AMC54","AMC59","AMC58","AMC56","AMC52","AMC57","AMC65","AMC66","AMC61","AMC62","AMC67","AMC60","AMC63","AMC68","AMC69","AMC6","AMC64","AMC71","AMC78","AMC77","AMC79","AMC74","AMC76","AMC7","AMC72","AMC70","AMC75","AMC73","AMC92","AMC9","AMC98","AMC96","AMC8","AMC80","AMC94","AMC95","AMC97","AMC93","AMC91","AMC10","AMC1","AMC18","AMC19","AMC16","AMC12","AMC14","AMC11","AMC13","AMC15","AMC17","Broadclass","unique"
"Cationic Antimicrobial Peptides",0.00302571860816944,0,0,0.00373831775700935,0.00774877650897227,0,0.0163191296464189,0.00916126994155742,0.0121212121212121,0.0089031339031339,0.00894969653327847,0.00657767459856839,0,0.00570939194975735,0.00699426111908178,0.00872190540087219,0.00884955752212389,0.00734113328745125,0.0229885057471264,0.00576973511670601,0,0.0289855072463768,0.0211038961038961,0.00640614990390775,0.0454545454545455,0.00603605093434761,0.0083111347895578,0.00763775231860338,0.0220994475138122,0.00715563506261181,0.00788916682701559,0.00765616843570559,0.0404040404040404,0,0.00881380829966948,0.00655430711610487,0.0284697508896797,0.00931098696461825,0.00620329902720993,0.0072463768115942,0.00943396226415094,0.00854700854700855,0.00671291116580891,0.00507706255666364,0.0155502392344498,0.00751476113794954,0.0217391304347826,0.0351437699680511,0.00854700854700855,0.00719026548672566,0.028169014084507,0.00767263427109974,0.00763605076360508,0.00613496932515338,0.0255639097744361,0.0194931773879142,0.0229357798165138,0.0230414746543779,0.0232558139534884,0.0149597238204833,0.0189753320683112,0,0.00465386852821408,0,0.05,0.0114942528735632,0.00754310344827586,0.00590551181102362,0.00785605676634567,0.00509235283963404,0,0,0.00719199499687305,0.00644705466749095,0.00652957801383881,0.00687207795865487,0.00650680804916255,0.0380658436213992,0.00319042871385842,0.0170261066969353,0,0.0147058823529412,0.00242508227957734,0.0240963855421687,0,0.0192307692307692,0.00593354430379747,0.00817757009345794,"Drugs","Cationic Antimicrobial Peptides"
"Chromium Resistance",0.00504286434694907,0,0.0129032258064516,0.00672897196261682,0.0032626427406199,0.00854700854700855,0.00362647325475975,0.00537039962091297,0.0121212121212121,0.00356125356125356,0.00390906285361588,0.00309537628167924,0,0.00413930916357408,0.00269010043041607,0.00335457900033546,0.00589970501474926,0.00321174581325992,0,0.00321269341725675,0,0,0.00324675324675325,0.00363015161221439,0,0.00347279642798082,0.00255727224294086,0.0010911074740862,0.00220994475138122,0.00233934223200771,0.00538772368674235,0.00348007656168436,0.0202020202020202,0,0.00440690414983474,0.0031210986267166,0.00711743772241993,0.00931098696461825,0.00352460172000564,0.0020703933747412,0.0283018867924528,0.00854700854700855,0.00290892817185053,0.00362647325475975,0.0167464114832536,0.00161030595813205,0,0.00718849840255591,0.00284900284900285,0.00350294985250737,0,0.00255754475703325,0.00408690040869004,0.00373432915444118,0.00601503759398496,0.00779727095516569,0.0091743119266055,0,0.00664451827242525,0.00690448791714614,0.00189753320683112,0,0.00814426992437464,0,0,0.00766283524904215,0.00363685344827586,0.00459317585301837,0.00456158134820071,0.00310719834282755,0,0,0.00383051907442151,0.00441579086814448,0.00433680927784816,0.002929082408607,0.00373538980600072,0.00308641975308642,0.00398803589232303,0.00794551645856981,0,0.00183823529411765,0.00103932097696172,0.0103270223752151,0,0,0.00435126582278481,0.00420560747663551,"Metals","Chromium Resistance"
"Cobalt Resistance",0,0,0,0.00186915887850467,0.00203915171288744,0,0,0.000947717580161112,0,0.000356125356125356,0.00154305112642732,0.00154768814083962,0,0.000856408792463603,0.000717360114777618,0.00201274740020127,0,0.000917641660931406,0,0.00111460792027275,0,0,0,0.00170830664104207,0,0.00124028443856458,0.000639318060735216,0.0010911074740862,0,0.0012384752992982,0.000769674812391764,0.000696015312336871,0,0,0.000734484024972457,0.00124843945068664,0,0,0.000704920344001128,0.0020703933747412,0,0,0,0.000725294650951949,0,0.000536768652710682,0,0,0,0.0012905604719764,0,0,0.00118305011830501,0.000755757090779763,0,0,0,0,0,0,0,0,0,0,0,0,0.00202047413793103,0.000984251968503937,0.000760263558033452,0.00129466597617815,0,0,0.000938086303939962,0.00105978980835468,0.000438553747198129,0.000675942094293922,0.000843475117484034,0,0.000398803589232303,0,0,0.00183823529411765,0,0,0,0,0.00237341772151899,0.0014018691588785,"Metals","Cobalt Resistance"
"Copper Resistance",0.0514372163388805,0.0238095238095238,0.0387096774193548,0.0568224299065421,0.0548531810766721,0.0598290598290598,0.0326382592928377,0.0510187963986732,0.0484848484848485,0.0548433048433048,0.0470116243184857,0.0518475527181273,0.0307692307692308,0.0523836711390237,0.0477044476327116,0.0524991613552499,0.0486725663716814,0.0591878871300757,0.0574712643678161,0.0513375295043273,0.0105263157894737,0.0289855072463768,0.0422077922077922,0.0456972026478753,0.0303030303030303,0.0511824044980982,0.053276505061268,0.0545553737043099,0.050828729281768,0.0478877115728636,0.0581104483355782,0.0488950756916652,0.0202020202020202,0.0471698113207547,0.0438854204921043,0.0458801498127341,0.0533807829181495,0.0391061452513967,0.0533624700408854,0.0502070393374741,0.0566037735849057,0.0598290598290598,0.0481091966882972,0.0513145965548504,0.0478468899521531,0.0499194847020934,0.0869565217391304,0.0519169329073482,0.0512820512820513,0.0515302359882006,0.0375586854460094,0.0460358056265985,0.0515164551516455,0.0514359384724815,0.0631578947368421,0.0779727095516569,0.0504587155963303,0.0522273425499232,0.0409745293466224,0.0425776754890679,0.0407969639468691,0,0.0477021524141943,0.0357142857142857,0.05,0.0363984674329502,0.0538793103448276,0.0442913385826772,0.0497972630511911,0.0504919730709477,0.0212765957446809,0.0632911392405063,0.0510475297060663,0.0525479113309194,0.0493129324627229,0.0510336281191911,0.0510302446077841,0.0246913580246914,0.0506480558325025,0.0408626560726447,0,0.0551470588235294,0.0320457301229863,0.0464716006884682,0.0408163265306122,0.0576923076923077,0.0435126582278481,0.05,"Metals","Copper Resistance"
"Drug and Biocide and Metal Resistance",0.0146243066061523,0,0.0258064516129032,0.0153271028037383,0.018352365415987,0.0192307692307692,0.0806890299184043,0.0186384457431685,0.0848484848484849,0.0165598290598291,0.0151219010389878,0.0129618881795318,0,0.0155580930630888,0.0173959827833572,0.0142569607514257,0,0.0160587290662996,0,0.0147521636506688,0.0421052631578947,0.0869565217391304,0.073051948051948,0.0155882980995089,0.0151515151515152,0.0156275839259137,0.0158763985082579,0.0174577195853792,0.0795580110497238,0.0134168157423971,0.0125072157013662,0.013572298590569,0.0202020202020202,0,0.0124862284245318,0.016541822721598,0.0711743772241993,0.0484171322160149,0.0167771041872268,0.0113871635610766,0.0990566037735849,0.0384615384615385,0.0167822779145223,0.014143245693563,0.076555023923445,0.0107353730542136,0.0217391304347826,0.0822683706070288,0.0256410256410256,0.0136430678466077,0.0563380281690141,0.0255754475703325,0.0152721015272102,0.0148039477193918,0.0842105263157895,0.0565302144249513,0.0724770642201835,0.0691244239631336,0.0764119601328904,0.0701956271576525,0.0815939278937381,0.103448275862069,0.00930773705642816,0.0535714285714286,0.05,0.0574712643678161,0.0164331896551724,0.0134514435695538,0.0158388241256969,0.0143276368030381,0.0212765957446809,0.0506329113924051,0.0143058161350844,0.0143071624127881,0.0151057401812689,0.0164479242944854,0.0142788287745512,0.0751028806584362,0.0133599202392822,0.0465380249716232,0.0625,0.0128676470588235,0.00796812749003984,0.0688468158347676,0.0612244897959184,0.0673076923076923,0.0158227848101266,0.0128504672897196,"Multi-compound","Drug and Biocide and Metal Resistance"
"Drug and Biocide Resistance",0.196167423096319,0.119047619047619,0.148387096774194,0.194392523364486,0.218800978792822,0.145299145299145,0.204895738893926,0.200758174064129,0.16969696969697,0.207264957264957,0.211295134245448,0.197910621009866,0.246153846153846,0.205395375392521,0.20642037302726,0.204964776920496,0.131268436578171,0.193622390456527,0.229885057471264,0.205284552845529,0.147368421052632,0.304347826086956,0.212662337662338,0.2152466367713,0.151515151515152,0.203572019183066,0.21470431539691,0.189852700490998,0.225414364640884,0.205862116416678,0.204733500096209,0.222028884635462,0.212121212121212,0.19811320754717,0.216489166360632,0.216292134831461,0.249110320284698,0.227188081936685,0.211335119131538,0.22463768115942,0.283018867924528,0.222222222222222,0.212351756545088,0.209428830462375,0.204545454545455,0.223832528180354,0.130434782608696,0.216453674121406,0.128205128205128,0.206950589970501,0.192488262910798,0.124040920716113,0.212626371262637,0.212101004712368,0.201503759398496,0.173489278752437,0.229357798165138,0.270353302611367,0.208194905869324,0.256616800920599,0.22011385199241,0.137931034482759,0.215823152995928,0.0982142857142857,0.15,0.153256704980843,0.210668103448276,0.208825459317585,0.205271160669032,0.215173485240808,0.223404255319149,0.0632911392405063,0.20723889931207,0.208866908063234,0.208020660754312,0.207683208471808,0.208217857573202,0.241769547325103,0.221335992023928,0.233825198637911,0.125,0.192095588235294,0.06651654252555,0.220309810671257,0.142857142857143,0.153846153846154,0.21004746835443,0.215654205607477,"Multi-compound","Drug and Biocide Resistance"
"Drug_and_metal_resistance",0,0,0,0,0.000815660685154976,0,0.00181323662737987,0.00157952930026852,0,0,0.00102870075095155,0.000386922035209905,0,0.000570939194975735,0,0.000335457900033546,0.00294985250737463,0.000458820830465703,0,0.000524521374246,0,0,0,0.000427076660260517,0,0.000496113775425831,0.000639318060735216,0.00218221494817239,0,0.000688041832943443,0.000769674812391764,0.000348007656168436,0,0,0.00110172603745869,0.00124843945068664,0,0,0.000422952206400677,0.0010351966873706,0,0,0.00134258223316178,0,0,0,0,0,0.00284900284900285,0.000553097345132743,0,0,0.000430200043020004,0.00071130079132213,0.00300751879699248,0,0,0,0,0,0.00189753320683112,0,0.00116346713205352,0,0,0,0.00107758620689655,0.000984251968503937,0.000760263558033452,0.00103573278094252,0,0,0.000469043151969981,0.000883158173628897,0.000584738329597505,0.00090125612572523,0.000722978672129172,0,0.00119641076769691,0,0,0,0.000346440325653906,0,0,0,0.000791139240506329,0.000467289719626168,"Multi-compound","Drug_and_metal_resistance"
"Fluoroquinolones",0.00504286434694907,0,0.0129032258064516,0.00747663551401869,0.00938009787928222,0.00854700854700855,0,0.0075817406412889,0,0.0097934472934473,0.0104927476597058,0.00657767459856839,0,0.00685127033970882,0.0111190817790531,0.00670915800067092,0.00589970501474926,0.00596467079605414,0,0.00950694990820876,0,0,0,0.00640614990390775,0,0.00950884736232843,0.00660628662759723,0.00763775231860338,0.00662983425414365,0.0113526902435668,0.00962093515489706,0.00765616843570559,0,0,0.00734484024972457,0.00561797752808989,0,0,0.0102918370224165,0.0031055900621118,0,0,0.00805549339897069,0.00906618313689937,0.00717703349282297,0.00644122383252818,0.0217391304347826,0.00159744408945687,0.0056980056980057,0.00682153392330383,0.00938967136150235,0.0051150895140665,0.00699075069907507,0.0120476571530186,0,0.00389863547758285,0.0018348623853211,0,0.00221483942414175,0,0,0,0.00232693426410704,0,0,0.00383141762452107,0.00835129310344828,0.0108267716535433,0.00836289913836797,0.0102710167443466,0,0,0.00945903689806129,0.0094497924578292,0.0117922229802164,0.00940686081225708,0.0115676587540668,0.00205761316872428,0.00638085742771685,0,0,0.00367647058823529,0.00103932097696172,0,0,0,0.00909810126582278,0.00700934579439252,"Drugs","Fluoroquinolones"
"Fosfomycin",0.00605143721633888,0,0,0.00299065420560748,0.0032626427406199,0,0.00181323662737987,0.00505449376085926,0,0.00284900284900285,0.0043205431539965,0.00522344747533372,0,0.00542392235226948,0.00358680057388809,0.0043609527004361,0.00589970501474926,0.00321174581325992,0,0.004196170993968,0,0,0,0.00213538330130258,0,0.00545725152968414,0.00362280234416622,0.00327332242225859,0,0.00529792211366451,0.00461804887435059,0.00382808421785279,0,0,0.00495776716856408,0.00436953807740325,0,0,0.00465247427040744,0,0,0.00854700854700855,0.00358021928843142,0.00398912058023572,0,0.00429414922168545,0,0.0023961661341853,0,0.00488569321533923,0,0.00255754475703325,0.00645300064530006,0.00404552325064462,0,0,0,0,0.00221483942414175,0.0046029919447641,0.00284629981024668,0,0.00465386852821408,0,0,0.00383141762452107,0.00363685344827586,0.00311679790026247,0.00582868727825646,0.00612808562057656,0,0,0.00476860537836148,0.00415084341605582,0.00380079914238378,0.0054638652622092,0.00397638269671045,0,0.00418743768693918,0.00227014755959137,0,0.00367647058823529,0.00155898146544258,0,0,0,0.00316455696202532,0.00397196261682243,"Drugs","Fosfomycin"
"Fusidic_acid",0.00201714573877963,0,0,0.00336448598130841,0.00244698205546493,0,0,0.0036329173906176,0.0121212121212121,0.0032051282051282,0.00226314165209341,0.0036757593344941,0,0.00314016557236654,0.000717360114777618,0.00301912110030191,0,0.00229410415232852,0,0.00190138998164175,0,0,0,0.00128122998078155,0,0.00165371258475277,0.00277037826318593,0,0,0.00206412549883033,0.00153934962478353,0.00208804593701061,0,0,0.00220345207491737,0.00124843945068664,0,0,0.00176230086000282,0.0010351966873706,0,0,0.00179010964421571,0.000725294650951949,0,0.00214707461084273,0,0,0.00284900284900285,0.00276548672566372,0.00938967136150235,0,0.00182835018283502,0.00204498977505112,0,0,0.0018348623853211,0,0,0,0,0,0.00232693426410704,0,0.05,0.00383141762452107,0.00161637931034483,0.00229658792650919,0.00380131779016726,0.0018125323666494,0.0212765957446809,0,0.00140712945590994,0.00229621125143513,0.00141311762986064,0.00163352672787698,0.0017471984576455,0,0.00199401794616152,0,0,0,0.00103932097696172,0,0,0.0192307692307692,0.000395569620253165,0.0014018691588785,"Drugs","Fusidic_acid"
